route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2022_09_12-DX-MVS-Weekday-33,1185746,OAK Airport / SF / Daly City,1,,1185746_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1186308,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185748,OAK Airport / SF / Daly City,1,,1185746_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1188844,SF / OAK Airport / Berryessa,0,,1188844_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185747,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185863,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185752,OAK Airport / SF / Daly City,1,,1185746_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185862,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185745,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1188845,SF / OAK Airport / Berryessa,0,,1188844_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185751,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1188846,SF / OAK Airport / Berryessa,0,,1188844_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185750,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185861,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185749,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185860,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185691,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185807,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185721,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185833,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185695,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185808,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185722,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185834,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185696,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185809,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185724,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185835,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
5,2022_09_12-DX-MVS-Weekday-33,1185697,OAK Airport / SF / Daly City,1,,1185747_shp,,1,1
6,2022_09_12-DX-MVS-Weekday-33,1185810,SF / OAK Airport / Berryessa,0,,1186308_shp,,1,1
